,problem size,mean,q1,q3,min.,max.
0,3,-23.641,-31.176,-15.368,-39.736,-10.703
1,4,-18.222,-23.756,-13.13,-26.877,-7.177
2,5,-18.672,-24.606,-12.242,-28.271,-9.603
