,problem size,mean,q1,q3,min.,max.
0,15,-12.189,-13.485,-10.466,-16.46,-7.177
1,16,-13.844,-14.915,-12.306,-17.038,-12.042
2,18,-25.009,-28.069,-21.988,-35.965,-14.01
3,20,-26.504,-28.559,-24.263,-33.439,-20.649
