,problem size,mean,q1,q3,min.,max.
0,15,8.693,7.53,9.587,5.51,11.44
1,16,7.408,6.195,8.655,4.84,9.17
2,18,7.652,6.15,9.41,4.05,11.32
3,20,8.782,6.458,11.265,4.95,13.41
