,problem size,mean,q1,q3,min.,max.
0,15,458.467,355.25,576.75,148.0,713.0
1,16,555.933,403.5,624.0,256.0,922.0
2,18,563.633,415.0,725.0,220.0,1120.0
3,20,500.733,316.75,639.25,188.0,1085.0
